viajes23,monto_sinavion,montoxdia_sinavion,empleado,duracion,inicio_fecha,inicio_hora,fin_fecha,fin_hora,cancelado,destino,tipo_corto,anticipo,comprobación_fecha,dga,unidad
V11711,41442.87062,2960.205044,E322,14,15/10/2023,16:13:00,28/10/2023,15:38:00,,Monterrey,CA,"42,000.00",09/11/2023,DG6,Sistemas
V16241,37931.58917,5418.798453,E855,7,13/08/2023,13:00:00,19/08/2023,22:00:00,,Benito Juárez,GC,"21,000.00",06/10/2023,DG7,Administración
V13282,31932.4101,4561.772871,E855,7,24/09/2023,12:00:00,30/09/2023,23:00:00,,Tuxtla Gutiérrez,GC,"21,000.00",03/11/2023,DG7,Administración
V11723,30227.06006,2159.075719,E875,14,15/10/2023,16:13:00,28/10/2023,15:38:00,,Monterrey,CA,"30,046.00",09/11/2023,DG6,Sistemas
V13441,29842.1104,1865.1319,E893,16,22/09/2023,6:00:00,07/10/2023,23:00:00,,MORELIA,CA,"20,000.00",07/11/2023,DG9,Sur
V13321,26859.36085,1790.624056,E920,15,23/09/2023,7:00:00,07/10/2023,23:00:00,,NAHUATZEN,CA,"24,000.00",19/10/2023,DG9,Occidente
V13254,26763.47974,1911.677124,E349,14,24/09/2023,0:01:00,07/10/2023,23:59:00,,Morelia,CA,"21,000.00",17/10/2023,DG9,Norte
V13260,26437.46021,1888.390015,E492,14,24/09/2023,8:00:00,07/10/2023,23:00:00,,Morelia,CA,"23,000.00",01/11/2023,DG9,Occidente
V13322,26371.99048,1648.249405,E931,16,23/09/2023,14:00:00,08/10/2023,12:00:00,,Morelia,CA,"20,500.00",27/10/2023,DG9,Noroeste
V13272,26230.37939,1873.598528,E831,14,24/09/2023,10:00:00,07/10/2023,23:00:00,,Morelia,CA,"16,511.00",25/10/2023,DG1,Estrategia
V13270,25936.44018,1852.60287,E802,14,24/09/2023,7:00:00,07/10/2023,20:00:00,,Morelia,CA,"24,100.00",03/11/2023,DG9,Occidente
V13250,25442.48925,1817.32066,E239,14,24/09/2023,12:00:00,07/10/2023,18:00:00,,Morelia,CA,"21,000.00",26/10/2023,DG9,Occidente
V13293,25441.07007,1817.219291,E898,14,24/09/2023,5:00:00,07/10/2023,23:30:00,,Morelia,CA,"22,000.00",08/11/2023,DG9,Sur
V13297,25390.30051,1813.592893,E912,14,24/09/2023,7:00:00,07/10/2023,22:00:00,,Morelia,CA,"23,000.00",17/10/2023,DG9,Sureste
V13271,25243.61035,1803.115025,E804,14,24/09/2023,8:00:00,07/10/2023,18:00:00,,Morelia,CA,"22,000.00",06/11/2023,DG9,Occidente
V13319,25163.82034,1677.588023,E896,15,23/09/2023,0:20:00,07/10/2023,0:00:00,,Morelia,CA,"21,000.00",19/10/2023,DG9,Sur
V13257,24777.94995,1769.853568,E443,14,24/09/2023,7:00:00,07/10/2023,18:00:00,,Morelia,CA,"21,000.00",17/10/2023,DG9,Norte
V13285,24646.12001,1760.437144,E879,14,24/09/2023,0:06:00,07/10/2023,0:23:00,,Morelia,CA,"23,000.00",03/11/2023,DG9,Occidente
V13280,24605.09018,1757.506442,E851,14,24/09/2023,11:30:00,07/10/2023,22:00:00,,Morelia,CA,"18,000.00",17/10/2023,DG9,Occidente
V13269,24579.72058,1755.694327,E750,14,24/09/2023,8:00:00,07/10/2023,20:00:00,,Morelia,CA,"22,000.00",13/10/2023,DG9,Occidente
V13251,24478.7594,1748.482814,E261,14,24/09/2023,14:00:00,07/10/2023,14:00:00,,Morelia,CA,"22,000.00",19/10/2023,DG9,Occidente
V13302,24462.51993,1747.322852,E927,14,24/09/2023,1:00:00,07/10/2023,22:00:00,,Morelia,CA,"20,000.00",11/10/2023,DG9,Norte
V13274,24393.41069,1742.386478,E835,14,24/09/2023,8:00:00,07/10/2023,17:00:00,,Morelia,CA,"21,011.00",13/10/2023,DG1,Estrategia
V13256,24029.96075,1716.425768,E362,14,24/09/2023,9:00:00,07/10/2023,20:00:00,,Morelia,CA,"18,000.00",11/10/2023,DG9,Occidente
V13273,23965.68017,1711.834298,E833,14,24/09/2023,8:00:00,07/10/2023,22:00:00,,Morelia,CA,"14,000.00",27/10/2023,DG1,Estrategia
V13279,23870.67054,1705.047896,E841,14,24/09/2023,8:00:00,07/10/2023,13:30:00,,Morelia,CA,"21,011.00",20/10/2023,DG1,Estrategia
V13301,23860.80991,1835.446916,E925,13,24/09/2023,15:00:00,06/10/2023,22:00:00,,Morelia,CA,"18,511.00",20/10/2023,DG9,Occidente
V13292,23654.4992,1689.607086,E897,14,24/09/2023,8:00:00,07/10/2023,22:00:00,,Morelia,CA,"21,011.00",24/10/2023,DG9,Sureste
V13295,23626.49948,1687.607106,E908,14,24/09/2023,8:00:00,07/10/2023,17:00:00,,Morelia,CA,0,16/10/2023,DG9,Sureste
V13284,23625.80014,1687.557153,E872,14,24/09/2023,14:00:00,07/10/2023,22:00:00,,Morelia,CA,"22,000.00",31/10/2023,DG9,Occidente
V13242,23591.49003,1685.106431,E025,14,24/09/2023,16:00:00,07/10/2023,22:00:00,,Morelia,CA,"22,000.00",25/10/2023,DG9,Occidente
V13287,23576.28033,1684.020024,E882,14,24/09/2023,5:00:00,07/10/2023,23:00:00,,Morelia,CA,"21,000.00",11/10/2023,DG9,Norte
V13300,23554.10991,1682.436422,E921,14,24/09/2023,11:00:00,07/10/2023,14:00:00,,Morelia,CA,"21,000.00",18/10/2023,DG9,Sureste
V14192,23494.58948,4698.917895,E256,5,12/09/2023,7:00:00,16/09/2023,23:59:00,,VERACRUZ,GC,0,16/10/2023,DG8,Responsabilidades
V13268,23490.21961,1677.872829,E742,14,24/09/2023,12:00:00,07/10/2023,19:00:00,,Morelia,CA,"22,000.00",18/10/2023,DG9,Occidente
V13281,23376.48989,1669.749278,E852,14,24/09/2023,9:00:00,07/10/2023,15:00:00,,Morelia,CA,"23,000.00",23/10/2023,DG1,Estrategia
V13288,23335.6494,1666.8321,E888,14,24/09/2023,8:00:00,07/10/2023,17:00:00,,Morelia,CA,"21,000.00",17/10/2023,DG9,Sureste
V13303,23115.41051,1651.100751,E933,14,24/09/2023,8:00:00,07/10/2023,20:00:00,,Morelia,CA,"23,500.00",16/10/2023,DG9,Noroeste
V13298,23056.93936,1646.92424,E915,14,24/09/2023,8:00:00,07/10/2023,13:00:00,,Morelia,CA,"20,500.00",16/10/2023,DG9,Sur
V13286,23024.25989,1644.589992,E880,14,24/09/2023,5:00:00,07/10/2023,22:00:00,,Morelia,CA,"23,000.00",27/10/2023,DG1,Estrategia
V13291,22825.28971,1630.377836,E892,14,24/09/2023,7:00:00,07/10/2023,22:00:00,,Morelia,CA,"23,000.00",18/10/2023,DG9,Norte
V13244,22797.5603,1753.658485,E057,13,24/09/2023,7:00:00,06/10/2023,0:00:00,,Morelia,CA,"24,000.00",19/10/2023,DG9,Noroeste
V13289,22760.39997,1625.742855,E889,14,24/09/2023,4:00:00,07/10/2023,20:00:00,,Morelia,CA,"21,000.00",16/10/2023,DG9,Norte
V13283,22742.15991,1624.439994,E867,14,24/09/2023,8:00:00,07/10/2023,23:00:00,,Morelia,CA,"20,000.00",30/10/2023,DG9,Sur
V13276,22722.43042,1623.030744,E837,14,24/09/2023,10:00:00,07/10/2023,23:00:00,,Morelia,CA,"21,011.00",25/10/2023,DG1,Estrategia
V13313,22686.26015,1620.447153,E600,14,23/09/2023,22:00:00,06/10/2023,22:00:00,,Morelia,CA,"17,000.00",16/10/2023,DG9,Sur
V13296,22574.31006,1612.450719,E911,14,24/09/2023,16:00:00,07/10/2023,20:00:00,,Morelia,CA,"16,000.00",19/10/2023,DG9,Sur
V13304,22558.51001,1611.322144,E934,14,24/09/2023,10:00:00,07/10/2023,23:00:00,,Morelia,CA,"21,011.00",16/10/2023,DG1,Estrategia
V13290,22551.91016,1610.850726,E891,14,24/09/2023,10:00:00,07/10/2023,23:00:00,,Morelia,CA,"21,011.00",01/11/2023,DG1,Estrategia
V13294,22486.34033,1606.167167,E904,14,24/09/2023,15:00:00,07/10/2023,16:00:00,,MORELIA,CA,"16,500.00",30/10/2023,DG9,Occidente
V13107,22400.74005,4480.14801,E293,5,26/09/2023,8:00:00,30/09/2023,22:00:00,,Chihuahua,GC,0,24/10/2023,DG2,Medio ambiente
V06665,21448.35034,4289.670068,E134,5,17/12/2023,11:00:00,21/12/2023,21:00:00,,GUADALAJARA,GC,0,28/12/2023,DG9,Sur
V13278,21387.72967,1527.694976,E839,14,24/09/2023,17:00:00,07/10/2023,14:00:00,,Morelia,CA,"16,511.00",17/10/2023,DG1,Estrategia
V06514,21031.7201,3505.286683,E855,6,20/12/2023,6:00:00,25/12/2023,22:00:00,,SAN PEDRO GARZA GARCÍA,GC,"15,000.00",28/12/2023,DG7,Administración
V13299,20850.71021,1489.336444,E919,14,24/09/2023,12:00:00,07/10/2023,12:00:00,,Morelia,CA,"22,000.00",26/10/2023,DG9,Occidente
V13264,20172.80048,1440.91432,E622,14,24/09/2023,17:00:00,07/10/2023,14:00:00,,Morelia,CA,"18,000.00",17/10/2023,DG1,Estrategia
V13275,20017.86987,1429.847848,E836,14,24/09/2023,6:00:00,07/10/2023,6:00:00,,Morelia,CA,"23,000.00",08/12/2023,DG1,Estrategia
V11131,19475.55994,3245.926657,E303,6,23/10/2023,6:00:00,28/10/2023,0:00:00,,San Pedro Garza García,GC,0,15/11/2023,DG7,Administración
V13277,19276.00025,1376.857161,E838,14,24/09/2023,17:00:00,07/10/2023,14:00:00,,Morelia,CA,"16,511.00",11/10/2023,DG1,Estrategia
V10166,19263.39002,3210.565003,E569,6,05/11/2023,12:00:00,10/11/2023,22:00:00,,Monterrey,GC,0,27/11/2023,DG5,Dirección de negocios
V09588,18201.33018,4550.332546,E808,4,12/11/2023,6:00:00,15/11/2023,23:30:00,,Mazatlán,CA,"12,000.00",30/11/2023,DG9,Norte
V04810,17671.93958,2945.323263,E708,6,19/02/2023,5:00:00,24/02/2023,23:59:00,,Isla,GC,"15,000.00",03/03/2023,DG8,Auditoría interna
V04807,17370.48987,2481.498553,E453,7,19/02/2023,13:00:00,25/02/2023,23:00:00,,Ciudad Valles,GC,"12,000.00",02/03/2023,DG8,Auditoría interna
V09594,17334.28992,2889.048319,E063,6,11/11/2023,6:00:00,16/11/2023,21:00:00,,ACAPULCO DE JUÁREZ,GC,"9,000.00",11/12/2023,DG7,Administración
V10129,17094.84033,2849.140055,E220,6,05/11/2023,12:00:00,10/11/2023,20:00:00,,BENITO JUÁREZ,GC,0,27/11/2023,DG5,Productos y servicios
V08131,16955.72009,2825.953349,E031,6,28/11/2023,9:00:00,03/12/2023,23:59:00,,CHIHUAHUA,GC,"14,000.00",27/12/2023,DG9,Norte
V11721,16905.59994,2415.085705,E835,7,15/10/2023,8:00:00,21/10/2023,20:00:00,,Morelia,CA,"15,623.00",03/11/2023,DG1,Estrategia
V10136,16884.13989,2814.023316,E311,6,05/11/2023,12:00:00,10/11/2023,20:00:00,,Monterrey,GC,0,21/11/2023,DG5,Atención corporativa
V10110,16824.7699,2804.128316,E029,6,05/11/2023,0:00:00,10/11/2023,22:00:00,,San Pedro Garza García,GC,0,29/11/2023,DG5,Programas y proyectos
V10118,16656.1903,2776.031717,E085,6,05/11/2023,14:00:00,10/11/2023,0:00:00,,Monterrey,GC,"12,000.00",29/11/2023,DG9,Dirección de regionales
V15651,16436.92993,3287.385986,E428,5,22/08/2023,0:00:00,26/08/2023,0:00:00,,ALVARO OBREGÓN,CA,"10,000.00",07/09/2023,DG1,Riesgos
V13852,16287.82967,2326.83281,E143,7,17/09/2023,8:00:00,23/09/2023,20:00:00,,Cuauhtémoc,GC,"4,000.00",02/10/2023,DG3,Monitoreo
V11987,16251.79022,4062.947556,E219,4,11/10/2023,6:00:00,14/10/2023,20:00:00,,Mazatlán,GC,"8,000.00",19/10/2023,DG7,Administración
V10121,16127.22949,2687.871582,E107,6,05/11/2023,0:00:00,10/11/2023,0:00:00,,Monterrey,GC,0,07/12/2023,DG3,Crédito
V13849,16082.25012,2297.464303,E063,7,17/09/2023,9:00:00,23/09/2023,0:00:00,,Puebla,GC,"10,000.00",11/10/2023,DG7,Administración
V11714,16006.55982,2286.651402,E559,7,15/10/2023,0:00:00,21/10/2023,0:00:00,,Morelia,CA,"10,000.00",27/10/2023,DG1,Estrategia
V10119,15997.51953,2666.253255,E087,6,05/11/2023,14:00:00,10/11/2023,20:00:00,,Monterrey,GC,0,30/11/2023,DG9,Occidente
V13246,15848.01996,2641.33666,E063,6,24/09/2023,0:00:00,29/09/2023,0:00:00,,Pánuco,GC,"10,000.00",18/10/2023,DG7,Administración
V10950,15847.39978,5282.466593,E855,3,25/10/2023,5:00:00,27/10/2023,23:00:00,,Monterrey,GC,"9,000.00",18/12/2023,DG7,Administración
V10113,15441.34985,2573.558308,E052,6,05/11/2023,0:00:00,10/11/2023,0:00:00,,Monterrey,GC,0,27/11/2023,DG5,Productos y servicios
V12756,15156.60974,2526.101624,E548,6,30/09/2023,9:00:00,05/10/2023,18:00:00,,Monterrey,GC,"5,000.00",12/10/2023,DG1,Estrategia
V13201,14928.35001,2985.670001,E303,5,25/09/2023,1:00:00,29/09/2023,0:00:00,,Mexicali,GC,0,09/10/2023,DG7,Administración
V16717,14919.08978,4973.029928,E358,3,03/08/2023,1:00:00,05/08/2023,23:50:00,,BOCA DEL RÍO,GC,"5,000.00",24/08/2023,DG7,Administración
V05084,14916.11,2983.222,E585,5,12/02/2023,5:00:00,16/02/2023,21:00:00,,Morelia,GC,0,27/03/2023,DG5,Atención corporativa
V06925,14787.02979,2957.405957,E431,5,13/12/2023,6:00:00,17/12/2023,20:00:00,,Mérida,GC,"14,000.00",22/12/2023,DG9,Sureste
V10154,14768.69982,2461.44997,E485,6,05/11/2023,0:00:00,10/11/2023,0:00:00,,Monterrey,GC,"12,500.00",01/12/2023,DG5,Productos y servicios
V13249,14746.67993,2457.779989,E188,6,24/09/2023,0:00:00,29/09/2023,0:00:00,,MORELIA,GC,0,05/10/2023,DG1,Estrategia
V15712,14744.43994,2948.887988,E116,5,21/08/2023,7:00:00,25/08/2023,21:00:00,,Tlaxcala,GC,"6,000.00",07/09/2023,DG9,Sur
V09498,14690.9502,3672.737549,E284,4,13/11/2023,10:00:00,16/11/2023,23:59:00,,Benito Juárez,GC,"4,000.00",23/11/2023,DG4,Planeación corporativa
V07750,14676.59009,2096.655727,E863,7,03/12/2023,16:00:00,09/12/2023,14:00:00,,Chihuahua,GC,"6,000.00",14/12/2023,DG9,Norte
V05585,14659.40996,2094.201423,E353,7,29/01/2023,13:00:00,04/02/2023,23:00:00,,Mexicali,GC,0,20/02/2023,DG3,Monitoreo
V15310,14446.51025,2407.751709,E713,6,27/08/2023,16:00:00,01/09/2023,22:00:00,,Cuauhtémoc,GC,0,04/10/2023,DG3,Monitoreo
V10109,14434.47998,2886.895996,E028,5,05/11/2023,8:00:00,09/11/2023,0:00:00,,Mérida,GC,0,04/12/2023,DG5,Programas y proyectos
V15305,14340.17981,2048.597115,E303,7,27/08/2023,9:00:00,02/09/2023,0:00:00,,Tampico,GC,0,21/09/2023,DG7,Administración
V00445,14321.81988,1790.227486,E143,8,20/06/2023,8:00:00,27/06/2023,20:00:00,,OJINAGA,GC,0,13/07/2023,DG3,Monitoreo
V00921,14288.90999,2857.781997,E046,5,07/06/2023,7:00:00,11/06/2023,20:00:00,,MEXICALI,GC,0,07/07/2023,DG9,Noroeste
V09574,14249.28003,2374.880005,E496,6,12/11/2023,0:01:00,17/11/2023,17:00:00,,Córdoba,GC,"8,000.00",20/12/2023,DG3,Monitoreo
V14324,14195.57977,2839.115955,E855,5,11/09/2023,9:00:00,15/09/2023,18:00:00,,Mérida,GC,"15,000.00",18/12/2023,DG7,Administración
V08996,13956.03996,1744.504995,E833,8,19/11/2023,7:00:00,26/11/2023,18:00:00,,Tamuín,GC,"12,000.00",13/12/2023,DG1,Estrategia
V10117,13886.59046,2314.431743,E083,6,05/11/2023,12:00:00,10/11/2023,22:00:00,,Monterrey,GC,0,22/11/2023,DG3,Crédito
V10514,13853.38001,3463.345001,E031,4,29/10/2023,0:00:00,01/11/2023,0:00:00,,Guadalajara,GC,"12,000.00",06/12/2023,DG9,Norte
V04453,13825.36995,1975.052851,E076,7,26/02/2023,7:00:00,04/03/2023,24:00:00,,Pachuca de Soto,GC,"15,000.00",17/03/2023,DG8,Auditoría interna
V07754,13806.34014,1972.334306,E927,7,03/12/2023,6:00:00,09/12/2023,23:00:00,,Chihuahua,GC,0,15/12/2023,DG9,Norte
V10134,13628.88013,2271.480021,E253,6,05/11/2023,12:00:00,10/11/2023,0:00:00,,Monterrey,GC,"12,500.00",04/12/2023,DG5,Productos y servicios
V17347,13545.17993,2257.529989,E496,6,23/07/2023,12:00:00,28/07/2023,21:00:00,,Alvaro Obregón,GC,0,08/08/2023,DG3,Monitoreo
V10532,13541.6402,3385.41005,E484,4,29/10/2023,9:00:00,01/11/2023,16:00:00,,Guadalajara,CA,"14,280.00",13/11/2023,DG9,Norte
V12067,13503.7301,3375.932526,E855,4,11/10/2023,9:00:00,14/10/2023,23:00:00,,Mérida,GC,"12,000.00",18/12/2023,DG7,Administración
V07746,13503.25024,1929.035749,E443,7,03/12/2023,12:00:00,09/12/2023,18:00:00,,Chihuahua,GC,0,15/12/2023,DG9,Norte
V10114,13501.34998,2250.224996,E061,6,05/11/2023,0:00:00,10/11/2023,0:00:00,,San Pedro Garza García,GC,0,29/11/2023,DG3,Monitoreo
V07889,13329.42011,4443.140035,E142,3,30/11/2023,11:00:00,02/12/2023,23:59:00,,Chihuahua,GC,"6,000.00",27/12/2023,DG9,Norte
V15167,13323.38001,3330.845001,E284,4,29/08/2023,11:00:00,01/09/2023,0:00:00,,Benito Juárez,GC,"5,000.00",11/09/2023,DG4,Planeación corporativa
V14694,13276.19031,2212.698385,E135,6,05/09/2023,14:00:00,10/09/2023,22:00:00,,BENITO JUÁREZ,GC,0,13/09/2023,DG9,Sureste
V16890,13258.51001,3314.627503,E344,4,01/08/2023,1:00:00,04/08/2023,23:59:00,,Mérida,GC,"6,000.00",21/08/2023,DG7,Administración
V14957,13144.92019,2628.984037,E020,5,31/08/2023,9:05:00,04/09/2023,10:00:00,,CHIHUAHUA,CA,0,19/09/2023,DG9,Occidente
V15263,13095.77997,2619.155994,E247,5,28/08/2023,8:00:00,01/09/2023,20:00:00,,Hermosillo,GC,"10,000.00",07/09/2023,DG7,Administración
V09499,13007.81995,3251.954987,E287,4,13/11/2023,0:00:00,16/11/2023,23:59:00,,Coyoacán,GC,"8,000.00",08/12/2023,DG4,Tesorería
V12005,12992.79987,3248.199966,E357,4,11/10/2023,7:00:00,14/10/2023,11:00:00,,Mérida,GC,"5,000.00",15/11/2023,DG7,Administración
V16234,12925.35999,2154.226664,E858,6,14/08/2023,5:00:00,19/08/2023,23:00:00,,Morelia,GC,"12,000.00",07/09/2023,DG8,Auditoría interna
V01819,12877.38031,4292.460103,E543,3,16/05/2023,16:00:00,18/05/2023,23:59:00,,Guadalajara,GC,0,30/05/2023,DG7,Administración
V10112,12877.1003,3219.275074,E045,4,05/11/2023,11:00:00,08/11/2023,23:59:00,,Puebla,GC,"9,000.00",16/11/2023,DG6,Sistemas
V01186,12837.94013,3209.485031,E243,4,31/05/2023,6:00:00,03/06/2023,24:00:00,,Valle de Santiago,CA,100,22/06/2023,DG3,Monitoreo
V06958,12830.23993,3207.559982,E574,4,13/12/2023,19:00:00,16/12/2023,23:59:00,,San Luis Potosí,GC,"4,000.00",22/12/2023,DG6,Sistemas
V03692,12785.12988,3196.282471,E311,4,15/03/2023,7:00:00,18/03/2023,14:30:00,,MÉRIDA,CA,0,27/03/2023,DG5,Atención corporativa
V07634,12772.15979,2128.693298,E055,6,04/12/2023,5:00:00,09/12/2023,23:00:00,,Morelia,GC,0,29/12/2023,DG5,Programas y proyectos
V09559,12761.40991,4253.803304,E031,3,12/11/2023,7:00:00,14/11/2023,18:00:00,,Mazatlán,GC,"9,000.00",22/11/2023,DG9,Norte
V07623,12734.18011,2546.836023,E008,5,04/12/2023,7:00:00,08/12/2023,23:30:00,,MORELIA,GC,0,15/12/2023,DG9,Sureste
V03153,12732.46008,4244.153361,E570,3,30/03/2023,6:00:00,01/04/2023,21:00:00,,San Pedro Garza García,GC,"3,000.00",13/04/2023,DG7,Administración
V05587,12731.41004,2546.282007,E519,5,29/01/2023,11:00:00,02/02/2023,23:59:00,,San Pedro Garza García,GC,0,17/02/2023,DG9,Norte
V09576,12659.24023,2109.873372,E568,6,12/11/2023,13:00:00,17/11/2023,23:59:00,,Cuajimalpa de Morelos,GC,"7,500.00",30/11/2023,DG3,Monitoreo
V12257,12656.04023,2109.340038,E228,6,08/10/2023,10:00:00,13/10/2023,18:00:00,,Tapachula,GC,0,19/10/2023,DG9,Sureste
V09497,12586.57031,3146.642578,E277,4,13/11/2023,11:00:00,16/11/2023,23:00:00,,Mazatlán,GC,"8,000.00",30/11/2023,DG7,Administración
V08755,12585.39032,2517.078064,E134,5,22/11/2023,13:00:00,26/11/2023,17:00:00,,Emiliano Zapata,GC,0,27/12/2023,DG9,Sur
V15300,12506.25024,2084.375041,E061,6,27/08/2023,0:00:00,01/09/2023,0:00:00,,Cuauhtémoc,GC,0,15/09/2023,DG3,Monitoreo
V10521,12494.29993,3123.574982,E220,4,29/10/2023,12:00:00,01/11/2023,21:00:00,,GUADALAJARA,GC,0,07/12/2023,DG5,Productos y servicios
V10088,12441.72022,2488.344043,E287,5,06/11/2023,0:00:00,10/11/2023,23:59:00,,Coyoacán,GC,"10,000.00",23/11/2023,DG4,Tesorería
V07751,12437.23016,1554.65377,E882,8,03/12/2023,6:00:00,10/12/2023,22:00:00,,CHIHUAHUA,GC,0,18/12/2023,DG9,Norte
V13263,12406.49987,1772.357124,E611,7,24/09/2023,9:00:00,30/09/2023,23:00:00,,Oaxaca de Juárez,GC,"2,500.00",08/11/2023,DG3,Monitoreo
V16198,12387.92971,3096.982427,E009,4,14/08/2023,7:06:00,17/08/2023,23:58:00,,Querétaro,GC,0,14/09/2023,DG2,Medio ambiente
V15306,12370.86047,2061.810079,E538,6,27/08/2023,16:00:00,01/09/2023,22:00:00,,Cuauhtémoc,GC,0,21/09/2023,DG3,Monitoreo
V07607,12363.91016,2472.782031,E756,5,05/12/2023,6:00:00,09/12/2023,14:00:00,,Morelia,GC,0,18/12/2023,DG1,Auditoría
V08975,12309.33972,2461.867944,E085,5,20/11/2023,15:00:00,24/11/2023,22:00:00,,Hermosillo,GC,"10,000.00",18/12/2023,DG9,Dirección de regionales
V13152,12246.76009,2449.352018,E601,5,26/09/2023,5:00:00,30/09/2023,23:00:00,,Córdoba,GC,"6,000.00",09/10/2023,DG3,Monitoreo
V11091,12244.94019,3061.235046,E930,4,24/10/2023,9:00:00,27/10/2023,23:59:00,,Morelia,GC,"9,000.00",13/12/2023,DG8,Dirección de órgano interno
V07673,12214.15991,2442.831982,E424,5,04/12/2023,8:30:00,08/12/2023,18:00:00,,Chilpancingo de los Bravo,GC,0,26/12/2023,DG5,Programas y proyectos
V14845,12208.81006,2441.762012,E048,5,03/09/2023,10:00:00,07/09/2023,18:00:00,,Morelia,CA,0,20/09/2023,DG5,Atención corporativa
V10153,12190.39996,4063.466655,E484,3,05/11/2023,7:00:00,07/11/2023,23:00:00,,Monterrey,CA,"5,000.00",15/11/2023,DG9,Norte
V01028,12166.52026,2433.304053,E070,5,05/06/2023,11:00:00,09/06/2023,17:00:00,,TORREÓN,GC,"12,000.00",23/06/2023,DG9,Norte
V15631,12160.52985,2432.105969,E108,5,22/08/2023,11:40:00,26/08/2023,23:59:00,,Celaya,GC,0,06/09/2023,DG9,Occidente
V15308,12137.05994,2022.843323,E594,6,27/08/2023,13:00:00,01/09/2023,23:59:00,,Cuauhtémoc,GC,0,15/09/2023,DG3,Monitoreo
V17349,12130.30042,2021.716736,E646,6,23/07/2023,8:30:00,28/07/2023,23:30:00,,Alvaro Obregón,GC,"10,000.00",07/08/2023,DG3,Monitoreo
V11006,12118.19006,4039.396688,E277,3,24/10/2023,6:00:00,26/10/2023,22:00:00,,PUEBLA,GC,"8,000.00",08/11/2023,DG7,Administración
V06438,12101.92993,4033.976644,E063,3,20/12/2023,0:00:00,22/12/2023,0:00:00,,San Pedro Garza García,GC,0,27/12/2023,DG7,Administración
V11073,12079.17981,2415.835962,E858,5,24/10/2023,5:00:00,28/10/2023,15:00:00,,Morelia,GC,"9,000.00",01/11/2023,DG8,Auditoría interna
V07748,12049.25989,1721.322841,E725,7,03/12/2023,12:00:00,09/12/2023,15:00:00,,Chihuahua,GC,"14,600.00",19/12/2023,DG9,Norte
V10006,11943.94971,2985.987427,E530,4,07/11/2023,4:00:00,10/11/2023,23:00:00,,Mérida,GC,"11,000.00",14/11/2023,DG9,Sureste
V08262,11899.35968,2974.83992,E046,4,27/11/2023,6:00:00,30/11/2023,23:00:00,,Ahome,GC,0,22/12/2023,DG9,Noroeste
V08986,11892.70007,2378.540015,E569,5,20/11/2023,18:00:00,24/11/2023,22:00:00,,GUADALAJARA,GC,0,05/12/2023,DG5,Dirección de negocios
V05589,11868.20966,1695.458522,E678,7,29/01/2023,10:00:00,04/02/2023,16:00:00,,Mexicali,GC,0,10/02/2023,DG3,Monitoreo
V15719,11856.45007,2371.290015,E236,5,21/08/2023,17:30:00,25/08/2023,14:00:00,,CAJEME,GC,0,31/08/2023,DG9,Noroeste
V14844,11812.09009,2362.418017,E010,5,03/09/2023,9:00:00,07/09/2023,18:00:00,,Morelia,CA,"4,000.00",14/09/2023,DG5,Atención corporativa
V07414,11698.47992,2924.61998,E288,4,06/12/2023,0:00:00,09/12/2023,20:00:00,,Morelia,CA,"5,000.00",20/12/2023,DG3,Monitoreo
V17709,11674.91992,3891.639974,E655,3,13/07/2023,5:00:00,15/07/2023,23:59:00,,Minatitlán,GC,"7,000.00",26/07/2023,DG8,Responsabilidades
V10174,11659.95007,1943.325012,E678,6,05/11/2023,0:01:00,10/11/2023,23:59:00,,Cajeme,GC,0,16/11/2023,DG3,Monitoreo
V16994,11650.75988,1664.394269,E601,7,30/07/2023,8:00:00,05/08/2023,22:00:00,,Teocelo,GC,"6,000.00",16/08/2023,DG3,Monitoreo
V15303,11612.78015,1935.463359,E201,6,27/08/2023,13:00:00,01/09/2023,23:55:00,,Cuauhtémoc,GC,0,26/09/2023,DG3,Monitoreo
V05581,11569.29041,1652.755772,E171,7,29/01/2023,7:00:00,04/02/2023,23:00:00,,Mexicali,GC,0,23/02/2023,DG3,Monitoreo
V00526,11552.6001,2888.150024,E556,4,19/06/2023,11:30:00,22/06/2023,12:00:00,,San Pedro Garza García,GC,0,17/07/2023,DG9,Norte
V08261,11482.32989,3827.443298,E018,3,27/11/2023,0:00:00,29/11/2023,23:00:00,,Morelia,CA,"5,000.00",14/12/2023,DG9,Sur
V11713,11457.81012,1909.63502,E454,6,15/10/2023,0:00:00,20/10/2023,0:00:00,,Morelia,GC,0,27/10/2023,DG1,Estrategia
V09572,11442.51978,2860.629944,E459,4,12/11/2023,8:00:00,15/11/2023,20:00:00,,Mazatlán,CA,"9,000.00",30/11/2023,DG9,Norte
V08422,11370.74982,2842.687454,E860,4,26/11/2023,4:00:00,29/11/2023,18:00:00,,Solidaridad,CA,"8,000.00",11/12/2023,DG9,Sureste
V13812,11363.39014,1893.898357,E455,6,18/09/2023,0:00:00,23/09/2023,0:00:00,,Mérida,GC,"8,000.00",06/10/2023,DG5,Programas y proyectos
V12261,11333.64978,2266.729956,E538,5,08/10/2023,9:00:00,12/10/2023,21:00:00,,Apodaca,GC,0,20/10/2023,DG3,Monitoreo
V14280,11306.76009,2826.690023,E108,4,11/09/2023,16:01:00,14/09/2023,23:59:00,,Aguascalientes,GC,0,06/10/2023,DG9,Occidente
