viajes23,monto_sinavion,montoxdia_sinavion,empleado,duracion,inicio_fecha,inicio_hora,fin_fecha,fin_hora,cancelado,destino,tipo_corto,anticipo,comprobación_fecha,dga,unidad
V04256,391.8699951,391.8699951,E445,1,02/03/2023,13:00:00,02/03/2023,18:00:00,,Tecomán,GC,0,13/03/2023,DG9,Occidente
V05287,391.8699951,391.8699951,E445,1,07/02/2023,14:00:00,07/02/2023,18:00:00,,Tecomán,GC,0,16/02/2023,DG9,Occidente
V05820,391.8699951,391.8699951,E445,1,24/01/2023,8:30:00,24/01/2023,14:00:00,,Tecomán,GC,0,30/01/2023,DG9,Occidente
V00618,391.8699951,391.8699951,E263,1,15/06/2023,9:00:00,15/06/2023,18:00:00,,Temoac,GC,0,30/06/2023,DG9,Sur
V08510,391.8500061,391.8500061,E530,1,24/11/2023,9:00:00,24/11/2023,15:00:00,,Ocozocoautla de Espinoza,GC,0,13/12/2023,DG9,Sureste
V03745,391.8399963,391.8399963,E820,1,15/03/2023,12:00:00,15/03/2023,18:00:00,,San Marcos,GC,0,28/03/2023,DG9,Sur
V05832,391.480011,391.480011,E683,1,24/01/2023,10:00:00,24/01/2023,17:40:00,,El Higo,GC,0,25/01/2023,DG9,Sur
V10572,391.2500057,391.2500057,E184,1,27/10/2023,9:00:00,27/10/2023,21:00:00,,Puebla,GC,0,07/11/2023,DG9,Sur
V05203,391.0299988,391.0299988,E740,1,09/02/2023,11:00:00,09/02/2023,15:00:00,,Tizimín,GC,0,14/02/2023,DG9,Sureste
V01020,391,391,E839,1,06/06/2023,8:30:00,06/06/2023,18:00:00,,Abasolo,CD,0,12/06/2023,DG1,Estrategia
V17477,391,391,E151,1,19/07/2023,9:30:00,19/07/2023,15:00:00,,Asientos,GC,0,28/08/2023,DG9,Occidente
V17903,391,391,E151,1,07/07/2023,8:30:00,07/07/2023,15:00:00,,Rincón de Romos,GC,0,21/07/2023,DG9,Occidente
V17311,390.8999939,390.8999939,E934,1,25/07/2023,9:00:00,25/07/2023,17:00:00,,Yautepec,CD,0,31/07/2023,DG1,Estrategia
V08997,390.7100067,390.7100067,E160,1,18/11/2023,16:00:00,18/11/2023,23:30:00,,Bacalar,GC,0,04/12/2023,DG9,Sureste
V00943,390.3599854,390.3599854,E395,1,07/06/2023,13:00:00,07/06/2023,18:00:00,,Jalapa,GC,0,12/06/2023,DG9,Sureste
V07475,390.2700043,390.2700043,E816,1,06/12/2023,11:00:00,06/12/2023,17:00:00,,José Sixto Verduzco,GC,0,13/12/2023,DG9,Occidente
V05642,390.1199951,390.1199951,E640,1,27/01/2023,9:30:00,27/01/2023,13:30:00,,Mexicali,GC,0,01/02/2023,DG9,Noroeste
V14426,390.0100041,390.0100041,E816,1,08/09/2023,9:00:00,08/09/2023,15:00:00,,Tanhuato,GC,0,02/10/2023,DG9,Occidente
V15486,390.0100041,390.0100041,E880,1,24/08/2023,9:00:00,24/08/2023,18:00:00,,Oxkutzcab,CD,0,28/08/2023,DG1,Estrategia
V16196,390.0100041,390.0100041,E904,1,15/08/2023,8:30:00,15/08/2023,17:30:00,,Zacapu,GC,0,22/08/2023,DG9,Occidente
V12601,389.949997,389.949997,E406,1,03/10/2023,8:00:00,03/10/2023,12:00:00,,Seyé,GC,0,11/10/2023,DG9,Sureste
V16510,389.9499893,389.9499893,E837,1,09/08/2023,8:00:00,09/08/2023,19:00:00,,Tepeojuma,CD,0,10/08/2023,DG1,Estrategia
V11398,389.7799988,389.7799988,E263,1,18/10/2023,9:00:00,18/10/2023,17:00:00,,Tepalcingo,GC,0,26/10/2023,DG9,Sur
V12659,389.7799988,389.7799988,E849,1,03/10/2023,12:00:00,03/10/2023,17:00:00,,Tepalcingo,GC,0,19/10/2023,DG9,Sur
V01785,389.3200073,389.3200073,E151,1,16/05/2023,9:00:00,16/05/2023,17:00:00,,Cosío,GC,0,24/05/2023,DG9,Occidente
V05259,389.269989,389.269989,E636,1,08/02/2023,12:00:00,08/02/2023,19:00:00,,Huixtla,GC,0,10/02/2023,DG9,Sureste
V15525,389.1000061,389.1000061,E239,1,23/08/2023,12:30:00,23/08/2023,16:00:00,,Pedro Escobedo,GC,0,04/09/2023,DG9,Occidente
V04667,389.0100021,389.0100021,E771,1,22/02/2023,9:00:00,22/02/2023,16:30:00,,Angostura,GC,0,02/03/2023,DG9,Noroeste
V16126,388.6100006,388.6100006,E263,1,15/08/2023,9:00:00,15/08/2023,16:00:00,,Tepalcingo,GC,0,18/08/2023,DG9,Sur
V09317,388.4999924,388.4999924,E934,1,15/11/2023,7:00:00,15/11/2023,18:00:00,,Tepalcingo,CD,0,21/11/2023,DG1,Estrategia
V02627,388.4899979,388.4899979,E208,1,24/04/2023,14:00:00,24/04/2023,17:00:00,,Julimes,GC,0,10/05/2023,DG9,Norte
V02647,388.4599991,388.4599991,E693,1,24/04/2023,14:00:00,24/04/2023,18:00:00,,Meoqui,GC,0,10/05/2023,DG9,Norte
V16156,388,388,E551,1,15/08/2023,8:00:00,15/08/2023,16:00:00,,Tala,GC,0,18/08/2023,DG9,Occidente
V16784,387.7100067,387.7100067,E263,1,02/08/2023,15:00:00,02/08/2023,19:00:00,,Tepalcingo,GC,0,09/08/2023,DG9,Sur
V03680,387.6400147,387.6400147,E151,1,15/03/2023,7:30:00,15/03/2023,17:00:00,,Tepezalá,GC,0,30/03/2023,DG9,Occidente
V04228,387.6400147,387.6400147,E151,1,02/03/2023,10:40:00,02/03/2023,15:00:00,,Cosío,GC,0,06/03/2023,DG9,Occidente
V05209,387.5,387.5,E816,1,09/02/2023,10:00:00,09/02/2023,14:00:00,,Tanhuato,GC,0,16/02/2023,DG9,Occidente
V03724,387.2099915,387.2099915,E636,1,15/03/2023,10:00:00,15/03/2023,19:00:00,,Huixtla,GC,0,22/03/2023,DG9,Sureste
V13314,387,387,E675,1,23/09/2023,9:30:00,23/09/2023,15:00:00,,Villa Corzo,GC,0,26/09/2023,DG9,Sureste
V14709,386.8999939,386.8999939,E242,1,05/09/2023,7:30:00,05/09/2023,14:30:00,,Navolato,GC,0,08/09/2023,DG9,Noroeste
V07833,386.8999939,386.8999939,E617,1,01/12/2023,9:00:00,01/12/2023,14:00:00,,San Luis Río Colorado,GC,0,11/12/2023,DG9,Noroeste
V08087,386.8999939,386.8999939,E617,1,29/11/2023,9:00:00,29/11/2023,15:00:00,,San Luis Río Colorado,GC,0,11/12/2023,DG9,Noroeste
V11903,386.8999939,386.8999939,E617,1,12/10/2023,10:30:00,12/10/2023,14:00:00,,San Luis Río Colorado,GC,0,16/10/2023,DG9,Noroeste
V13654,386.8999939,386.8999939,E617,1,20/09/2023,9:30:00,20/09/2023,14:00:00,,San Luis Río Colorado,GC,0,28/09/2023,DG9,Noroeste
V14118,386.8999939,386.8999939,E617,1,13/09/2023,8:00:00,13/09/2023,11:00:00,,San Luis Río Colorado,GC,0,14/09/2023,DG9,Noroeste
V15579,386.8999939,386.8999939,E617,1,23/08/2023,10:00:00,23/08/2023,14:00:00,,San Luis Río Colorado,GC,0,01/09/2023,DG9,Noroeste
V15930,386.8999939,386.8999939,E617,1,17/08/2023,12:00:00,17/08/2023,16:00:00,,San Luis Río Colorado,GC,0,23/08/2023,DG9,Noroeste
V17630,386.6799927,386.6799927,E449,1,14/07/2023,9:00:00,14/07/2023,17:00:00,,Padilla,GC,0,18/07/2023,DG9,Norte
V03289,386.5,386.5,E314,1,27/03/2023,10:00:00,27/03/2023,17:00:00,,Cortazar,GC,0,31/03/2023,DG9,Occidente
V03290,386.4799958,386.4799958,E335,1,27/03/2023,10:00:00,27/03/2023,17:00:00,,Cortazar,GC,0,31/03/2023,DG9,Occidente
V13160,386.449997,386.449997,E648,1,26/09/2023,11:30:00,26/09/2023,15:00:00,,Ocozocoautla de Espinoza,GC,0,04/10/2023,DG9,Sureste
V17969,386.3900147,386.3900147,E400,1,06/07/2023,14:00:00,06/07/2023,20:00:00,,Valle de Santiago,GC,0,13/07/2023,DG9,Occidente
V14678,386.0000076,386.0000076,E880,1,06/09/2023,9:00:00,06/09/2023,17:00:00,,Oxkutzcab,CD,0,18/09/2023,DG1,Estrategia
V00231,386,386,E839,1,27/06/2023,9:00:00,27/06/2023,18:00:00,,Salvatierra,CD,0,03/07/2023,DG1,Estrategia
V16407,385.9100037,385.9100037,E749,1,10/08/2023,9:30:00,10/08/2023,13:00:00,,Rincón de Romos,GC,0,17/08/2023,DG9,Occidente
V15104,385.8200073,385.8200073,E643,1,30/08/2023,10:45:00,30/08/2023,17:00:00,,Tonalá,GC,0,06/09/2023,DG9,Occidente
V00780,385.0000038,385.0000038,E816,1,13/06/2023,10:00:00,13/06/2023,18:00:00,,Panindícuaro,GC,0,21/06/2023,DG9,Occidente
V00205,385,385,E533,1,27/06/2023,15:30:00,27/06/2023,22:00:00,,Abasolo,GC,0,10/07/2023,DG9,Occidente
V09314,384.9899959,384.9899959,E899,1,15/11/2023,6:00:00,15/11/2023,20:00:00,,Lázaro Cárdenas,GC,0,22/11/2023,DG1,Estrategia
V09316,384.9899959,384.9899959,E916,1,15/11/2023,6:00:00,15/11/2023,18:00:00,,Lázaro Cárdenas,GC,0,22/11/2023,DG1,Estrategia
V01745,384.9799995,384.9799995,E402,1,17/05/2023,9:00:00,17/05/2023,18:00:00,,Gómez Farías,GC,0,16/06/2023,DG9,Norte
V14795,384.8000031,384.8000031,E871,1,05/09/2023,10:00:00,05/09/2023,16:00:00,,Actopan,GC,0,08/09/2023,DG9,Sur
V00118,384.4899979,384.4899979,E377,1,28/06/2023,12:00:00,28/06/2023,18:00:00,,Tequisquiapan,GC,0,18/07/2023,DG9,Occidente
V05387,384.1400147,384.1400147,E400,1,02/02/2023,9:30:00,02/02/2023,17:00:00,,Valle de Santiago,GC,0,09/02/2023,DG9,Occidente
V00945,384.0100098,384.0100098,E446,1,07/06/2023,9:00:00,07/06/2023,18:00:00,,Benito Juárez,GC,0,21/06/2023,DG9,Sur
V14383,384.0000057,384.0000057,E437,1,08/09/2023,9:00:00,08/09/2023,18:00:00,,Cuauhtémoc,GC,0,22/09/2023,DG9,Sur
V16838,383.9399986,383.9399986,E663,1,02/08/2023,8:00:00,02/08/2023,20:00:00,,Acaponeta,GC,0,23/08/2023,DG9,Occidente
V01692,383.9100037,383.9100037,E606,1,18/05/2023,10:00:00,18/05/2023,17:00:00,,San Juan de los Lagos,GC,0,19/06/2023,DG9,Occidente
V10202,383.8099976,383.8099976,E091,1,03/11/2023,9:00:00,03/11/2023,18:00:00,,Alfajayucan,GC,0,15/11/2023,DG9,Sur
V03773,383.7299957,383.7299957,E341,1,14/03/2023,9:00:00,14/03/2023,18:00:00,,Mascota,GC,0,31/03/2023,DG9,Occidente
V09189,383.7200012,383.7200012,E749,1,16/11/2023,9:20:00,16/11/2023,13:00:00,,Cosío,GC,0,27/11/2023,DG9,Occidente
V17635,383.6499939,383.6499939,E553,1,14/07/2023,9:00:00,14/07/2023,14:00:00,,Tlalixcoyan,GC,0,31/07/2023,DG9,Sur
V09534,383.5,383.5,E649,1,13/11/2023,9:00:00,13/11/2023,17:00:00,,Tuxpan,GC,0,05/12/2023,DG9,Occidente
V01346,383.25,383.25,E553,1,26/05/2023,11:00:00,26/05/2023,18:00:00,,Tlalixcoyan,GC,0,13/06/2023,DG9,Sur
